"","receiver","gsis_id","games","hPPR_pts","exp_hPPR_pts","exp_hPPR_pts_pg","hPPR_over_exp"
"184","M.Williams","00-0033536",14,129.6,141.035045539395,10.0739318242425,-11.4350455393954
"185","S.Anderson","00-0032725",3,14.6,12.0069318279496,4.00231060931652,2.59306817205043
"186","Ty.Johnson","00-0035457",10,67.8,42.9739745949387,4.29739745949387,24.8260254050613
"187","V.Green","00-0028142",4,12.5,9.37548556560173,2.34387139140043,3.12451443439827
"188","A.Ingold","00-0035125",10,23,22.8634185668618,2.28634185668618,0.136581433138208
"189","B.Edwards","00-0036365",9,30.8,23.6213351010977,2.62459278901085,7.17866489890233
"190","D.Booker","00-0032972",11,16.9,24.3548782128879,2.21407983753526,-7.45487821288786
"191","D.Waller","00-0031610",16,227.1,210.120067088467,13.1325041930292,16.9799329115327
"192","F.Moreau","00-0034981",7,29.5,15.7701434862073,2.25287764088676,13.7298565137927
"193","H.Renfrow","00-0034983",16,105.6,102.208468315276,6.38802926970475,3.39153168472407
"194","H.Ruggs","00-0036357",13,70.2,71.965965351787,5.535843488599,-1.76596535178703
"195","J.Jacobs","00-0035700",15,40.3,49.0163413501087,3.26775609000725,-8.71634135010874
"196","J.Richard","00-0033025",10,23.3,25.2490085157444,2.52490085157444,-1.94900851574442
"197","J.Witten","00-0022127",10,25.4,31.1054650520122,3.11054650520122,-5.70546505201218
"198","N.Agholor","00-0031549",16,161.6,149.962314576254,9.37264466101587,11.6376854237461
"199","Z.Jones","00-0033891",10,28.4,31.4525565886427,3.14525565886427,-3.05255658864272
"200","A.Shaheen","00-0033896",13,39,38.5566308790844,2.96589468300649,0.443369120915584
"201","D.Parker","00-0031547",14,134.8,150.235622057536,10.7311158612526,-15.4356220575358
"202","D.Smythe","00-0034798",13,45.8,41.7872032657081,3.21440025120831,4.01279673429192
"203","I.Ford","00-0033471",9,41.6,58.145110665955,6.46056785177278,-16.545110665955
"204","J.Grant","00-0032791",14,61.3,71.9266455641173,5.13761754029409,-10.6266455641173
"205","L.Bowden","00-0036364",7,35.1,42.8191300733831,6.11701858191188,-7.71913007338315
"206","M.Breida","00-0033308",5,14.1,11.0124756641805,2.20249513283611,3.08752433581945
"207","M.Gaskin","00-0035311",10,71.3,52.120554654635,5.2120554654635,19.179445345365
"208","M.Gesicki","00-0034829",15,132.8,135.489931952766,9.0326621301844,-2.6899319527659
"209","M.Hollins","00-0033555",9,31.6,34.0176473997604,3.77973859997338,-2.41764739976039
"210","M.Perry","00-0036245",7,19.7,17.1985523936286,2.45693605623266,2.50144760637138
"211","P.Laird","00-0035342",7,11.8,11.9052772947672,1.70075389925246,-0.105277294767204
"212","P.Williams","00-0035350",8,61.8,60.1668843403008,7.5208605425376,1.63311565969917
"213","S.Ahmed","00-0036020",5,11.6,14.9573477959549,2.99146955919097,-3.35734779595487
"214","A.Abdullah","00-0032104",7,21.8,13.8717575639562,1.98167965199374,7.92824243604382
"215","A.Mattison","00-0034972",6,25,16.4734086287931,2.74556810479886,8.52659137120686
"216","A.Thielen","00-0030035",15,213.5,183.750702881904,12.2500468587936,29.7492971180965
"217","C.Beebe","00-0034309",10,42.1,37.9047909087528,3.79047909087528,4.19520909124724
"218","C.Ham","00-0032918",7,19.7,14.8324613895867,2.11892305565524,4.86753861041329
"219","D.Cook","00-0033893",14,64.1,53.7240795261114,3.8374342518651,10.3759204738886
"220","I.Smith","00-0034970",12,81.5,73.7400586246817,6.14500488539014,7.75994137531826
"221","J.Jefferson","00-0036322",16,226,190.715359514635,11.9197099696647,35.2846404853649
"222","K.Rudolph","00-0027981",12,53.4,52.9981570587373,4.41651308822811,0.401842941262714
"223","O.Johnson","00-0035006",8,25.9,26.0672642351592,3.2584080293949,-0.167264235159223
"224","T.Conklin","00-0034270",7,34.9,30.3009602428564,4.32870860612234,4.59903975714364
"225","C.Newton","00-0027939",2,10.5,2.52834581755169,1.26417290877585,7.97165418244831
